id,parentId
nerve to right flexor carpi ulnaris,nerve to flexor carpi ulnaris
t3 branch to left semispinalis cervicis,t3 branch to semispinalis cervicis
thoracodorsal nerve component of trunk of anterior ramus of left eighth cervical nerve,thoracodorsal nerve component of trunk of anterior ramus of eighth cervical nerve
RID18223,Obsolete Radlex Term
intervening foreign body,object artifact
ophthalmic artery,subdivision of cerebral part of internal carotid artery
muscular fascia of globe,organ component cluster
humeroulnar joint,elbow joint
aneurysm clip,surgical clip
parotid vein,tributary of facial vein
craniofacial body region,body region
serosa of ascending part of duodenum,serosa of zone of duodenum
trunk of upper deep buccal branch of facial nerve,trunk of deep buccal branch of facial nerve
left ophthalmic artery,ophthalmic artery
precentral operculum,zone of telencephalon
organ component of pararenal fat,zone of loose endoabdominal fascia
transverse facial artery,branch of superficial temporal artery
brodmann area 23 of left cuneus,brodmann area 23 of cuneus
medial branch of posterior ramus of right fourth lumbar nerve,medial branch of posterior ramus of fourth lumbar nerve
stenosis,mechanical disorder
trunk of right lateral pterygoid nerve,trunk of lateral pterygoid nerve
brodmann area 17 of left cuneus,brodmann area 17 of cuneus
egg-on-its-side heart,imaging sign
preputial sac,subdivision of urogenital part of male perineum
glandular part of central zone of prostate,subdivision of central zone of prostate
surface of left inferior transverse scapular ligament,surface of inferior transverse scapular ligament
wall of zone of uterus,region of organ component
peripheral segment of right eighth thoracic spinal nerve,peripheral segment of eighth thoracic spinal nerve
additional vessel,property related to additional imaging
zone of investing fascia of thigh,zone of investing fascia of free lower limb
right inferior gluteal nerve,inferior gluteal nerve
external pyramidal layer of right Brodmann area 48,external pyramidal layer of Brodmann area 48
medial external iliac lymphatic vessel,external iliac lymphatic vessel
obturator membrane,membrane organ
cranial parasympathetic ganglion,parasympathetic ganglion
extensor digitorum longus tendon,tendon
lateral lemniscus,lemniscus of neuraxis
posterior limb of right internal capsule,posterior limb of internal capsule
posteromedial central branch of right posterior cerebral artery,posteromedial central branch of posterior cerebral artery
muscular branch of left vertebral artery,muscular branch of vertebral artery
trunk of articular branch of ulnar nerve to right elbow joint,trunk of articular branch of ulnar nerve to elbow joint
posterior renal fascia,renal fascia
nerve to right sixth external intercostal muscle,nerve to sixth external intercostal muscle
multiform layer of Brodmann area 47,lamina of Brodmann area 47
amygdalopiriform transition area,zone of telencephalon
anterior zone of left glenoid labrum,anterior zone of glenoid labrum
lymphatic vessel of trunk,vessel of lymphatic chain
esophageal branch of vagal trunk,branch of vagus nerve
superparamagnetic contrast agent,contrast agent
inferior subscapular nerve component of trunk of anterior ramus of left fifth cervical nerve,inferior subscapular nerve component of trunk of anterior ramus of fifth cervical nerve
c6 branch to right scalenus minimus,c6 branch to scalenus minimus
hepatectomy,liver surgery
auricular,anatomically-related descriptor
respiratory,anatomically-related descriptor
adventitia of left anterior superior minor calyx,adventitia of anterior superior minor calyx
nerve to extensor digitorum,branch of posterior interosseous nerve
dorsal thoracic nucleus of cervical segment of right dorsal gray column of spinal cord,dorsal thoracic nucleus of cervical segment of dorsal gray column of spinal cord
participating tail,imaging sign
zone of cochlear part of wall of bony labyrinth,wall of zone of bony labyrinth
non-solid,solidness descriptor
insertion,anatomic sub-part
superior vermian branch of medial branch of right superior cerebellar artery,superior vermian branch of medial branch of superior cerebellar artery
inferior anterior pancreaticoduodenal lymphatic chain,abdominal lymphatic chain
anterior component of azygos arch,segment of azygos arch
distal metaphysis of second metacarpal bone,distal metaphysis of metacarpal bone
right canal of Guyon,Guyon canal
c8 segment of left ventral gray column of spinal cord,c8 segment of ventral gray column of spinal cord
muscle body of left transversus abdominis,muscle body of transversus abdominis
space of medial compartment of left thigh,space of medial compartment of thigh
skin of anterior part of knee,subdivision of skin of free lower limb
anterior branch of posteromedial central branch of right posterior communicating artery,anterior branch of posteromedial central branch of posterior communicating artery
multicentric osteosarcoma,osteosarcoma
anterior part of left patella,anterior part of patella
cardinal free limb segment,free limb region
RID12271,Obsolete Radlex Term
right median antebrachial vein,median antebrachial vein
nerve to sixth levator costae,muscular branch of lateral branch of posterior ramus of sixth thoracic nerve
l4 segment of right nucleus proprius of spinal cord,l4 segment of nucleus proprius of spinal cord
c8 segment of right cuneate fasciculus of spinal cord,c8 segment of cuneate fasciculus of spinal cord
left superior cerebellar peduncle,superior cerebellar peduncle
vertical crest of internal auditory canal,zone of petrous part of temporal bone
ventral nucleus of lateral lemniscus,nucleus of brain
nerve to left lateral crico-arytenoid,nerve to lateral crico-arytenoid
perineum,subdivision of trunk proper
right anterior parietal artery,anterior parietal artery
distal metaphysis of left radius,distal metaphysis of radius
medial border region of patella,zone of patella
iliopsoas tendon,tendon of thigh
articular cartilage of groove of left femoral trochlea,articular cartilage of groove of femoral trochlea
c5 segment of ventral gray column of spinal cord,cervical subsegment of ventral gray column of spinal cord
right superior thalamic peduncle,superior thalamic peduncle
common digital nerve of third web space,nerve of upper extremity
right hepatic artery,hepatic artery
lumbar subsegment of nucleus proprius of spinal cord,segment of nucleus proprius of spinal cord
RID12414,RID12307
trunk of nerve to left longus capitis,trunk of nerve to longus capitis
preganglionic segment of posterior root of eighth cervical spinal nerve,preganglionic segment of posterior root of cervical spinal nerve
cervical segment of left anterior corticospinal tract,cervical segment of anterior corticospinal tract
trunk of posterior branch of right great auricular nerve,trunk of posterior branch of great auricular nerve
stratum lemnisci of superior colliculus,gray matter layer of superior colliculus
lateral parabrachial nucleus,nucleus of brain
region of surface of flat bone,region of surface of bone organ
aborted,status descriptor
serosa of caudate lobe of liver,serosa of zone of liver
right dorsal trigeminal tract,dorsal trigeminal tract
set of short cerebral association nerve fasciculi,set of cerebral association nerve fasciculi
nerve to left sternocleidomastoid,nerve to sternocleidomastoid
lower gastrointestinal tract,subdivision of gastrointestinal system
lumen of right posterior intermediate minor calyx,lumen of posterior intermediate minor calyx
medial branch of posterior ramus of right eleventh thoracic nerve to right longissimus thoracis,medial branch of posterior ramus of eleventh thoracic nerve to longissimus thoracis
right lateral surface of thoracic part of esophagus,lateral surface of thoracic part of esophagus
t2 branch to right semispinalis capitis,t2 branch to semispinalis capitis
lateral proper palmar digital branch of median nerve to right middle finger,lateral proper palmar digital branch of median nerve to middle finger
RID12832,RID12819
skin of medial part of left knee,skin of medial part of knee
anterior segment of left parahippocampal gyrus,anterior segment of parahippocampal gyrus
T4a tumor stage,T4 tumor stage
frontal brain region,brain region
tongue,anatomical cluster
tubercle of tibia,tubercle of bone
deep perineal space,body cavity subdivision
t2 segment of left cuneate fasciculus of spinal cord,t2 segment of cuneate fasciculus of spinal cord
articular branch of posterior ramus of tenth thoracic nerve,articular branch of posterior ramus of thoracic nerve
distal region of spinal part of deltoid,distal zone of part of deltoid
iotrolan,non-ionic iso-osmolar dimeric iodinated contrast agent
septofimbrial nucleus,nucleus of brain
c2 segment of right dorsal gray column of spinal cord,c2 segment of dorsal gray column of spinal cord
outer molecular layer of right dentate gyrus,outer molecular layer of dentate gyrus
female urethra,urethra
utriculo-ampullary nerve,branch of vestibular nerve
intercostal bulging lung sign,imaging sign
interosseous trapeziocapitate ligament,zone of trapeziocapitate ligament
multiecho,modality descriptor
lobule VII of vermis,lobule of vermis
peripheral segment of right anococcygeal nerve,peripheral segment of anococcygeal nerve
white matter of C7 segment of spinal cord,white matter of subdivision of cervical segment of spinal cord
zona glomerulosa of adrenal gland,region of adrenal cortex
medial branch of posterior ramus of left twelfth thoracic nerve to left longissimus thoracis,medial branch of posterior ramus of twelfth thoracic nerve to longissimus thoracis
